PokemasterDb,~
TestingAlt123,&
Mewderator,&
Sent_By_Ravens,+
Desdinova,@
Blobyolo,+
NinjaStarz7,~
GhostyFX,&
xFizz~,%
Nindzya,~
Poke'slash,+
MrKijani,+
MrKіjanі,+
Flаreykіnz,+
LeMorpher,~
TestіngAlt123,@
Оnce,@
The Drowned Sailor,+
Pokenubz,@
Oncе,@
AFK TestingAlt123,&
Jirаchi,@
Leader Lenub,◈
Leadеr Cakey,◈
Ruby the Demon,+
lenub,@
CobbleWobble,~
Ѕсіzornіcian,~
Holy Name*,@
Lеader Cakey,@
Nibblerz,@
Xearneyltal,&
Scizornician,⎋
Ehsanul, 
turtletwig, 
Jellohamster, 
Sir Thunder, 
MeowMeowMewtwo, 
Flafpert, 
Fairy Hunter, 
{Dual}Enoch, 
Black Reshiram, 
CluelessRapidash, 
PokeEhsanul, 
Empoleon02, 
uxb, 
Enoch, 
Jofly, 
Shaun Frost, 
Lucario02 (GE), 
PokéAdam, 
Sniggle, 
{DB}Enoch, 
RUWhoDoesn'tjn, 
Flaf, 
Aderm, 
Aderp, 
Glitchmon, 
Gup, 
Dragneel999, 
Attack the Rat, 
Gelatingerbil, 
PimpNubz,@
Trust & Betrayal,%
Yoga Catz,%
Holy Mike,@
Aeternіs,@
Tгust & Betrayal,@
Valetbro,@
Psychic x,&
DoctorFlame,%
MurrrKrow,%
Mewderator X,&
Mewderator Y,&
AFK PimpNubz,@
Leboss,%
MudoTyphlosion,@
Catnipz,%
hotcakes,%
Lebooser,%
The Elds of Rado,+
LustTheLascivious,@
notaflame,%
Kazemon,%
Sempiternus,%
Scizbot,~
Valet,@
Le Sovereign,@
NindzyaStarz7,~
Le Flame~,%
The Legislator,@
Tessa the Reaper,%
Manaphy :3,&
Hėlix,@
CantDoDisObamaself,@
Live From New York,%
Aeternis,@
Flafman,+
Blind Psychic,@
